Team,City,Country
Manchester United FC,Manchester,England
Ipswich Town FC,Ipswich,England
Arsenal FC,London,England
Everton FC,Liverpool,England
Newcastle United FC,Newcastle upon Tyne,England
Nottingham Forest FC,Nottingham,England
West Ham United FC,London,England
Brentford FC,London,England
Chelsea FC,London,England
Leicester City FC,Leicester,England
Brighton & Hove Albion FC,Brighton & Hove,England
Crystal Palace FC,London,England
Fulham FC,London,England
Manchester City FC,Manchester,England
Southampton FC,Southampton,England
Tottenham Hotspur FC,London,England
Aston Villa FC,Birmingham,England
AFC Bournemouth,Bournemouth,England
Wolverhampton Wanderers FC,Wolverhampton,England
Liverpool FC,Liverpool,England
Athletic Club,Bilbao,Spain
Real Betis Balompié,Seville,Spain
RC Celta de Vigo,Vigo,Spain
UD Las Palmas,Las Palmas,Spain
CA Osasuna,Pamplona,Spain
Valencia CF,Valencia,Spain
Real Sociedad de Fútbol,San Sebastián,Spain
RCD Mallorca,Palma,Spain
Real Valladolid CF,Valladolid,Spain
Villarreal CF,Villarreal,Spain
Sevilla FC,Seville,Spain
FC Barcelona,Barcelona,Spain
Getafe CF,Getafe (Madrid metro),Spain
RCD Espanyol de Barcelona,Barcelona,Spain
Real Madrid CF,Madrid,Spain
CD Leganés,Leganés (Madrid metro),Spain
Deportivo Alavés,Vitoria-Gasteiz,Spain
Club Atlético de Madrid,Madrid,Spain
Rayo Vallecano de Madrid,Madrid,Spain
Girona FC,Girona,Spain
Genoa CFC,Genoa,Italy
Parma Calcio 1913,Parma,Italy
Empoli FC,Empoli,Italy
AC Milan,Milan,Italy
Bologna FC 1909,Bologna,Italy
Hellas Verona FC,Verona,Italy
Cagliari Calcio,Cagliari,Italy
SS Lazio,Rome,Italy
US Lecce,Lecce,Italy
Juventus FC,Turin,Italy
Udinese Calcio,Udine,Italy
FC Internazionale Milano,Milan,Italy
AC Monza,Monza,Italy
ACF Fiorentina,Florence,Italy
Torino FC,Turin,Italy
SSC Napoli,Naples,Italy
AS Roma,Rome,Italy
Venezia FC,Venice,Italy
Como 1907,Como,Italy
Atalanta BC,Bergamo,Italy
Borussia Mönchengladbach,Mönchengladbach,Germany
RB Leipzig,Leipzig,Germany
TSG 1899 Hoffenheim,Hoffenheim,Germany
SC Freiburg,Freiburg,Germany
FC Augsburg,Augsburg,Germany
1. FSV Mainz 05,Mainz,Germany
Borussia Dortmund,Dortmund,Germany
VfL Wolfsburg,Wolfsburg,Germany
FC St. Pauli 1910,Hamburg,Germany
1. FC Union Berlin,Berlin,Germany
VfB Stuttgart,Stuttgart,Germany
Eintracht Frankfurt,Frankfurt,Germany
SV Werder Bremen,Bremen,Germany
VfL Bochum 1848,Bochum,Germany
Holstein Kiel,Kiel,Germany
Bayer 04 Leverkusen,Leverkusen,Germany
1. FC Heidenheim 1846,Heidenheim,Germany
FC Bayern München,Munich,Germany
Le Havre AC,Le Havre,France
Stade Brestois 29,Brest,France
Stade de Reims,Reims,France
AS Monaco FC,Monaco,Monaco
AJ Auxerre,Auxerre,France
Montpellier HSC,Montpellier,France
Toulouse FC,Toulouse,France
Angers SCO,Angers,France
Stade Rennais FC 1901,Rennes,France
Paris Saint?Germain FC,Paris,France
Olympique Lyonnais,Lyon,France
Lille OSC,Lille,France
AS Saint?Étienne,Saint?Étienne,France
Racing Club de Lens,Lens,France
RC Strasbourg Alsace,Strasbourg,France
FC Nantes,Nantes,France
OGC Nice,Nice,France
Olympique de Marseille,Marseille,France
BSC Young Boys,Bern,Switzerland
Sporting Clube de Portugal,Lisbon,Portugal
AC Sparta Praha,Prague,Czech Republic
Club Brugge KV,Bruges,Belgium
Celtic FC,Glasgow,Scotland
Feyenoord Rotterdam,Rotterdam,Netherlands
FK Crvena Zvezda,Belgrade,Serbia
PSV (PSV Eindhoven),Eindhoven,Netherlands
Sport Lisboa e Benfica,Lisbon,Portugal
FC Red Bull Salzburg,Salzburg,Austria
ŠK Slovan Bratislava,Bratislava,Slovakia
FK Shakhtar Donetsk,Donetsk,Ukraine
GNK Dinamo Zagreb,Zagreb,Croatia
SK Sturm Graz,Graz,Austria
