Team,City,Country
Charlton,London,England
Man City,Manchester,England
Chelsea,London,England
West Ham,London,England
Coventry,Coventry,England
Middlesbrough,Middlesbrough,England
Derby,Derby,England
Southampton,Southampton,England
Leeds,Leeds,England
Everton,Liverpool,England
Leicester,Leicester,England
Aston Villa,Birmingham,England
Liverpool,Liverpool,England
Bradford,Bradford,England
Sunderland,Sunderland,England
Arsenal,London,England
Tottenham,London,England
Ipswich,Ipswich,England
Man United,Manchester,England
Newcastle,Newcastle upon Tyne,England
Dortmund,Dortmund,Germany
Hansa Rostock,Rostock,Germany
Bayern Munich,Munich,Germany
Hertha,Berlin,Germany
Freiburg,Freiburg im Breisgau,Germany
Stuttgart,Stuttgart,Germany
Hamburg,Hamburg,Germany
Munich 1860,Munich,Germany
Kaiserslautern,Kaiserslautern,Germany
Bochum,Bochum,Germany
Leverkusen,Leverkusen,Germany
Wolfsburg,Wolfsburg,Germany
Werder Bremen,Bremen,Germany
Cottbus,Cottbus,Germany
Ein Frankfurt,Frankfurt,Germany
Unterhaching,Unterhaching,Germany
Schalke 04,Gelsenkirchen,Germany
FC Koln,Cologne,Germany
Bari,Bari,Italy
Verona,Verona,Italy
Napoli,Naples,Italy
Juventus,Turin,Italy
Atalanta,Bergamo,Italy
Lazio,Rome,Italy
Milan,Milan,Italy
Vicenza,Vicenza,Italy
Parma,Parma,Italy
Fiorentina,Florence,Italy
Perugia,Perugia,Italy
Lecce,Lecce,Italy
Reggina,Reggio Calabria,Italy
Inter,Milan,Italy
Roma,Rome,Italy
Bologna,Bologna,Italy
Udinese,Udine,Italy
Brescia,Brescia,Italy
Barcelona,Barcelona,Spain
Malaga,Málaga,Spain
La Coruna,A Coruña,Spain
Ath Bilbao,Bilbao,Spain
Real Madrid,Madrid,Spain
Valencia,Valencia,Spain
Sociedad,San Sebastián,Spain
Santander,Santander,Spain
Zaragoza,Zaragoza,Spain
Espanol,Barcelona,Spain
Las Palmas,Las Palmas de Gran Canaria,Spain
Alaves,Vitoria-Gasteiz,Spain
Mallorca,Palma,Spain
Valladolid,Valladolid,Spain
Numancia,Soria,Spain
Oviedo,Oviedo,Spain
Osasuna,Pamplona,Spain
Celta,Vigo,Spain
Villarreal,Villarreal,Spain
Vallecano,Madrid,Spain
Marseille,Marseille,France
Troyes,Troyes,France
Paris SG,Paris,France
Strasbourg,Strasbourg,France
Auxerre,Auxerre,France
Sedan,Sedan,France
Bordeaux,Bordeaux,France
Metz,Metz,France
Guingamp,Guingamp,France
St Etienne,Saint-Étienne,France
Lille,Lille,France
Monaco,Monaco,Monaco
Lyon,Lyon,France
Rennes,Rennes,France
Nantes,Nantes,France
Lens,Lens,France
Toulouse,Toulouse,France
Bastia,Bastia,France
Blackburn,Blackburn,England
Bolton,Bolton,England
Fulham,London,England
Nurnberg,Nuremberg,Germany
M'gladbach,Mönchengladbach,Germany
St Pauli,Hamburg,Germany
Chievo,Verona,Italy
Venezia,Venice,Italy
Piacenza,Piacenza,Italy
Torino,Turin,Italy
Betis,Seville,Spain
Sevilla,Seville,Spain
Tenerife,Santa Cruz de Tenerife,Spain
Lorient,Lorient,France
Sochaux,Montbéliard,France
Montpellier,Montpellier,France
West Brom,West Bromwich,England
Birmingham,Birmingham,England
